review_id,text,etiqueta_humana,estrellas,casos,tema,origen
20,"Nos tuvieron esperando de pie aunque había mesas libres. Cuando por fin nos sentamos, la mesa estaba pegajosa.",NEGATIVO,1,negativo,mesa;servicio,simulada_tema_real
21,"Buena opción para comer algo rápido antes del partido. Precios de estadio, pero la calidad es correcta y el personal eficiente.",POSITIVO,4,positivo;mixto_leve,precio;servicio,simulada_tema_real
22,Qué suerte tenemos los culés: pagar siete euros por una cerveza en vaso de plástico. Así seguro que terminan la reforma del estadio.,NEGATIVO,2,sarcasmo,cerveza;vaso_de_plastico;precio,simulada_tema_real
23,"Los camareros son un amor, pero la cocina es un desastre: el pollo seco y las patatas congeladas.",MIXTO,2,mixto,servicio;comida,simulada_tema_real
24,"Celebramos el cumpleaños de mi sobrino Mateo aquí y el equipo del Barça Cafe se portó genial, hasta le pusieron una vela en el postre.",POSITIVO,5,positivo;entidades,servicio,simulada_tema_real
25,"Personal desbordado, música altísima y nadie limpió nuestra mesa en toda la tarde. Una pena para la imagen del club.",NEGATIVO,1,negativo,mesa;servicio,simulada_tema_real
26,Meh.,NEGATIVO,2,texto_corto,general,simulada_tema_real
27,No puedo decir que no me haya gustado: el bocadillo de jamón estaba bueno y no tardaron nada.,POSITIVO,4,negacion,comida;servicio,simulada_tema_real
28,Esperaba algo digno del Museu del Barça y me encontré un bar de aeropuerto con precios de Plaça de Catalunya.,NEGATIVO,1,negativo;entidades,precio;barca,simulada_tema_real
29,"La Blaugrana Burger con salsa Culé está brutal, pídanla sin dudar.",POSITIVO,5,entidad_desconocida;jerga,hamburguesa,simulada_tema_real
30,"Amazing ambiente, la paella muy good y el staff very friendly. ¡Volveremos desde México!",POSITIVO,5,mezcla_idiomas;entidades,comida;servicio,simulada_tema_real
31,"Pedí una ensalada y me trajeron una hamburguesa. Cuando lo reclamé, el encargado Sergi ni se disculpó.",NEGATIVO,1,negativo;entidades,hamburguesa;servicio,simulada_tema_real
32,"Para ver un partido con amigos está bien, para comer no lo recomiendo.",MIXTO,3,mixto;negacion,barca;comida,simulada_tema_real
33,"El brunch del domingo fue una sorpresa: huevos benedictinos riquísimos, zumo natural y vistas al estadio.",POSITIVO,5,positivo,comida;estadio,simulada_tema_real
34,"Cinco estrellas... para el aire acondicionado, que es lo único que funcionaba.",NEGATIVO,1,sarcasmo,general,simulada_tema_real
35,Normal. Ni bueno ni malo.,NEUTRO,3,neutro;negacion;texto_corto,general,simulada_tema_real
36,Coincidimos con aficionados de Japón y Brasil y acabamos todos cantando el himno del Barça. Ambiente único en Barcelona.,POSITIVO,5,positivo;entidades,barca,simulada_tema_real
